,t,x,y,theta,v,omega
0,1729435830.2617376,0.0,0.0,0.0,0.0,0.0
1,1729435830.3200655,0.0,0.0,0.0,0.0,0.0
2,1729435830.4502902,303.2141826001152,1029.9890410177727,0.5195002465615113,0.0,0.0
3,1729435830.5086038,301.9648212625076,1026.172835503483,0.5173018462112884,0.0,0.0
4,1729435830.6029751,300.24409989639133,1021.5037379892367,0.5242887794591553,0.0,0.0
5,1729435830.776919,299.48748500022333,1026.726605392372,0.5262063442873202,0.0,0.0
6,1729435830.8567374,301.7344505747376,1023.5722253081447,0.5198117365188568,0.0,0.0
7,1729435830.9177313,298.7978524659655,1029.4007058589614,0.5170595420516166,0.0,0.0
8,1729435831.0080276,300.45455475161134,1027.7605097862609,0.5047815707055907,0.0,0.0
9,1729435831.1445692,303.21524049930827,1018.6086521864648,0.4846282106375619,0.0,0.0
10,1729435831.220304,299.6485191848819,1019.0752280149527,0.47772562530662155,0.0,0.0
11,1729435831.3253388,299.41892051167497,1024.3283214666894,0.4744060623868851,0.0,0.0
12,1729435831.4140034,295.53944724018635,1022.5611887189566,0.4785537629750536,0.0,0.0
13,1729435831.5545776,298.1004334794466,1020.6008202467597,0.47818354311052325,0.0,0.0
14,1729435831.6386337,295.0543684649005,1031.2019706108763,0.48486679419506107,0.0,0.0
15,1729435831.745756,293.26936057353396,1031.577269948588,0.4832698286590298,45.94616958918292,-4.838294392934984
16,1729435831.8088803,295.155664851513,1029.6828825024784,0.4820036437155255,45.95232506464822,-4.55322020645624
17,1729435831.9517024,292.77891405733664,1030.1154997011652,0.48154014345644347,45.95132672241588,-4.600655135717449
18,1729435832.0254,294.6522688958219,1024.641141463335,0.4799640862556398,45.96150569416088,-4.091331021864531
19,1729435832.1192346,296.50964792780934,977.3450470239993,0.4848220870933311,45.99093277472557,-1.9855481303194946
20,1729435832.2158325,294.40772179668653,1014.9739540834839,0.474640612110266,45.97868229433113,-3.044549828270698
21,1729435832.3572788,292.7205442050001,1025.2911007122336,0.47643365261796644,45.96625181595309,-3.8307855618696998
22,1729435832.4406264,292.9296606161876,1014.7975482972528,0.47547188677185614,45.9770004897393,-3.1623757649655784
23,1729435832.5280116,294.44829810304606,1016.3665815150468,0.47091706225504604,45.98265763254065,-2.746021412149678
24,1729435832.6090376,291.0845219055369,1022.4765812866189,0.4827412840353982,45.95632269579953,-4.358111773645708
25,1729435832.767513,294.7408163874644,973.0262689936991,0.4874084554956388,45.9901513997253,-2.0693363487364063
26,1729435832.8385143,291.66738090654513,1012.0708925223263,0.48227507948725945,45.967939740552296,-3.733746473269245
27,1729435832.925539,286.9071002066853,1021.9619785108302,0.4853592212582418,45.94885825886587,-4.715894507480046
28,1729435833.0113554,284.8562605328421,1029.6529413651585,0.49175436940192707,45.92183613423856,-5.830430366421576
29,1729435833.1411638,289.3395946982668,977.53832274618,0.4977163253833483,45.97175082443766,-3.5047835260297333
30,1729435833.2239168,286.686974778124,1007.470365881039,0.49409406260313027,45.946629265018544,-4.8175881839669925
31,1729435833.3326156,287.6593042904642,1009.3788599177203,0.4930231938523444,45.94737603580602,-4.783758795224577
32,1729435833.420106,286.80016992279576,1012.8655509922942,0.496048277537656,45.93543461230688,-5.298912821048489
33,1729435833.5455687,290.9568613191857,1016.0886142069936,0.5070300244047568,45.90444945238436,-6.446557737503323
34,1729435833.6316543,296.87283456686697,1014.954747629806,0.5199899223955216,45.87052720070044,-7.504595148255679
35,1729435833.72013,306.65485911943597,1028.013553897681,0.5189058524327814,45.85978487766309,-7.809871490208743
36,1729435833.8202634,319.8285455019825,985.8692281916404,0.5205522625537897,45.9356121266517,-5.291621760354696
37,1729435833.943851,323.522703043784,1039.3662514615783,0.5183907769569895,45.85759095068709,-7.870765652996875
38,1729435834.0202394,329.58465191502233,1045.7129813957742,0.5200740201830345,45.84523788415306,-8.20522034003668
39,1729435834.1303647,331.97817535156105,1061.6821302121045,0.5351472360775609,45.745428502386524,-10.525469140568571
40,1729435834.2249472,337.0202401469675,1041.7227434456606,0.5384049703169058,45.788582273379234,-9.591206858365389
41,1729435834.3357968,343.2854070182335,999.0798500330578,0.5242441872929922,45.926914597782904,-5.6377903316692475
42,1729435834.420213,346.1298897203836,996.586677156256,0.5254770458214395,45.929560399567265,-5.534774850547862
43,1729435834.5440388,350.28799958773084,992.9421175559474,0.5272792579453891,45.93335787629882,-5.383477990306694
44,1729435834.627967,353.13573782165116,990.4460912241033,0.5285135274896615,45.935909684358506,-5.279377584697825
45,1729435834.7307925,356.60312834588825,987.4069431913965,0.5300163673473381,45.93896204290496,-5.152097949248601
46,1729435834.8211746,326.15666095264993,1012.9714897077108,0.27025398507447074,45.217772798607264,18.468001282092484
47,1729435834.9366362,327.08574804271086,1012.0566681901494,0.24853222591422997,45.01621425403534,20.718743138245518
48,1729435835.0111988,327.68059764692657,1011.4709521432137,0.23462483232587328,44.87518302966877,22.159806982646884
49,1729435835.1307433,328.63405851854753,1010.532131088823,0.2123332219444336,44.62969924394929,24.469667751850164
50,1729435835.2242157,329.37988672442026,1009.7977546256952,0.19489599691333392,44.42106534201605,26.276547607021588
51,1729435835.3234031,340.28796460319194,1115.6562100375306,0.6430597848130288,44.669738481458644,-24.107756333376614
52,1729435835.4103746,349.14089829208064,1098.7776150075363,0.6422643305083975,44.8085974219994,-22.809049460278285
53,1729435835.5296082,347.82422627293556,1117.525276553102,0.6098557574200738,45.0203976807747,-20.674486342919504
54,1729435835.631513,349.68106728107966,1124.6506321384704,0.621324710105581,44.87366015816916,-22.174864541782497
